id,author,created_at,text
1385562764006014978,ABaerbock,2021-04-23T11:54:40.000Z,"Wieder sind Menschen gestorben. Wieder Trauer, wieder ist von Unglück die Rede. Mit einer flächendeckenden, europäisch koordinierten Seenotrettung hätten wir sie retten können. Danke an @SOSMedGermany für Euren Einsatz. https://t.co/1IZz9OzQyn"
1385207421744947203,ABaerbock,2021-04-22T12:22:39.000Z,"#Bidens Vorschlag ist ein ambitionierter Klimaschutz-Plan. Da sollte Europa die Hand reichen. Ich werbe dafür, dass wir eine transatlantische Allianz für Klimaneutralität begründen. So kommen wir auf den 1,5 Grad-Pfad & sichern unsere Wettbewerbsfähigkeit. https://t.co/bHnSBOQEdr"
1384858066693378050,ABaerbock,2021-04-21T13:14:27.000Z,"RT @GrueneBundestag: Es ist richtig, dass nun endlich zumindest eine bundeseinheitliche #Notbremse beschlossen wird. 

Aber diese Notbremse…"
1384520944669151232,ABaerbock,2021-04-20T14:54:51.000Z,"RT @Die_Gruenen: Heute Abend ab 20 Uhr spricht @abaerbock mit Bürger*innen über Themen wie #Wirtschaft, #Pflege, #LSBTIQ-Rechte und #Digita…"
1384458414668062720,ABaerbock,2021-04-20T10:46:22.000Z,"Ich gratuliere @ArminLaschet zur Kanzlerkandidatur. Ich setze auf einen fairen Wahlkampf um die Führung dieses Landes. Und darum, wer die nötigen Veränderungen energisch vorantreibt, damit wir die Herausforderungen meistern. #Klimaschutz #Digitalisierung #Bildung #Zusammenhalt"
1384073625926393865,ABaerbock,2021-04-19T09:17:21.000Z,"Ich freue mich, dass Robert Habeck mich heute im Namen des Bundesvorstandes als Kanzlerkandidatin für @die_gruenen vorgeschlagen hat. #BTW21  !B https://t.co/3gdeaKx3gj"
1383704253978447875,ABaerbock,2021-04-18T08:49:36.000Z,RT @Karl_Lauterbach: (2) Modelle zeigen: 2 Tests pro Woche von mehr als 40% der Beschäftigten senken R-Wert. Das klappt ohne Pflicht nicht.…
1383688746701262848,ABaerbock,2021-04-18T07:47:59.000Z,"Die Corona-Pandemie hat furchtbares Leid verursacht. Heute gedenke ich der vielen Menschen, die dadurch ihr Leben verloren haben. Und ich denke an die, die trauernd zurückgeblieben sind. Wir müssen alles tun, um die Pandemie zu bekämpfen und die dritte Welle zu brechen. https://t.co/dhC5jGALQo"
1383676105605873664,ABaerbock,2021-04-18T06:57:45.000Z,"RT @roth_florian: ""Alone among the main parties, the Greens have a vision for a Germany that is digital, climate neutral, deeply committed…"
1383429952318574603,ABaerbock,2021-04-17T14:39:38.000Z,"@LindaTeuteberg @GrueneBBG Besten Dank, freue mich ebenso auf einen spannenden Wahlkampf in Potsdam (und natürlich auch darüber hinaus)."
1383420039517282310,ABaerbock,2021-04-17T14:00:14.000Z,"Herzlichen Dank, @GrueneBBG, dass ihr mich seit Jahren tragt. Das ist großartig und gibt viel Kraft - für die kommenden Monate. Ich freue mich auf den gemeinsamen Wahlkampf mit euch. #allesistdrin #dLdk https://t.co/KMDKu12WjJ"
1382647448666013700,ABaerbock,2021-04-15T10:50:14.000Z,"Wir wollen wirksame #Kindergrundrechte im Grundgesetz. Der Vorschlag von Union&SPD ist aber so schwach, dass er hinter die UN-Kinderrechtskonvention und die Rechtsprechung des BVerfG zurückfällt. So können wir nicht zustimmen. Die BuReg muss nacharbeiten und Kinderrechte stärken. https://t.co/Lho3M8mySS"
1381517608793563138,ABaerbock,2021-04-12T08:00:39.000Z,"(2/2) Dafür braucht es eine Politik, die für Planungssicherheit sorgt. Darum wollen wir künftig Klimaschutz strukturell in allen Ressorts verankern. #allesistdrin #btw21 #Hannovermesse"
1381517308674375682,ABaerbock,2021-04-12T07:59:28.000Z,"Klimaneutralität ist eine Chance für unseren Industriestandort. Spreche heute bei der #HM21 mit Karl Haeusgen @VDMAonline u Gunther Kegel @ZVEIorg darüber, wie wir es gemeinsam schaffen, dass Made in Germany zukünftig nicht nur für Qualität, sondern auch Nachhaltigkeit steht. 1/2"
1380842808802734080,ABaerbock,2021-04-10T11:19:15.000Z,RT @MaraMarinakiEU: Auch meinen persönlichen herzlichen Dank Herr @ManuelSarrazin für Ihre Grußworte und  noch einmal für die warmherzige U…
1380599267711184910,ABaerbock,2021-04-09T19:11:30.000Z,@BriHasselmann Herzlichen Glückwunsch liebe Britta 💚
1379726021272932354,ABaerbock,2021-04-07T09:21:32.000Z,"RT @MiKellner: Mit Annalena #Baerbock und Robert #Habeck haben wir ein starkes Spitzenduo für die #btw21 und am 19.4. stellen wir vor, wer…"
1379464017052323849,ABaerbock,2021-04-06T16:00:25.000Z,"RT @BriHasselmann: Gedenken und erinnern an #HalitYozgat, der heute vor 15 Jahren von der terroristischen Neonazivereinigung #NSU in Kassel…"
1379145555025264643,ABaerbock,2021-04-05T18:54:58.000Z,"Great news: Congratulation ⁦@VjosaOsmaniPRKS⁩ as president of #Kosovo .
All the best for the future of your country from Germany  https://t.co/JbOWajdYOm"
1378653079348908036,ABaerbock,2021-04-04T10:18:02.000Z,"04.04.2006, Dortmund: 
Mehmet Kubaşık wird mit 39 Jahren in seinem Kiosk durch Rechtsterroristen des #NSU ermordet. Drei Kindern wird ihr Vater genommen. 

#KeinVergessen heißt auch, Rechtsextremismus gemeinsam die Stirn zu bieten. Jeden Tag, an jedem Ort. https://t.co/SQObYQqPXW"
1378272151946530816,ABaerbock,2021-04-03T09:04:22.000Z,"Wir brauchen eine Politik, die den Herausforderungen der Wirklichkeit gewachsen ist. Unser Programmentwurf zur #btw21 ist eine Einladung, gemeinsam die Zukunft dieses Landes zu gestalten. Welches Projekt ist Euch besonders wichtig? #allesistdrin https://t.co/lmgZKCmUn3"
1377960914100629505,ABaerbock,2021-04-02T12:27:37.000Z,RT @KathaSchulze: Schönes Porträt über @janoschdahmen - er tut dem Bundestag so gut 💪
1377933721244946436,ABaerbock,2021-04-02T10:39:34.000Z,RT @queer_de: #VideoDesTages Bei einem Gottesdienst zum Karfreitag erinnerte die Evangelische Versöhnungskirche auf dem Gelände der KZ-Gede…
1377913181176221697,ABaerbock,2021-04-02T09:17:57.000Z,"RT @BriHasselmann: Deutschland braucht mehr strukturell angesiedeltes Empowerment, braucht Netzwerke, Beratungsstellen, Antidiskriminierung…"
1377887851803770887,ABaerbock,2021-04-02T07:37:18.000Z,RT @SZ: „So etwas gab es bisher nicht“: Sechs Kinder und Jugendliche aus #Portugal verklagen 33 europäische Staaten vor dem Europäischen Ge…
